Code,Cluster
"plate ME 1/1 TSB Isolates - 1 well H2",97
"plate ME 1/1 TSB Isolates - 1 well H2 2",90
"plate ME 1/1 TSB Isolates - 1 well H6",123
"plate ME 1/1 TSB Isolates - 1 well H7",133
"plate ME 1/1 TSB Isolates - 1 well H8",54
"plate ME 1/1 TSB Isolates - 1 well H10",21
"plate ME 1/1 TSB Isolates - 1 well H12",90
"plate ME R2A Isolates – 2 well A1",31
"plate ME R2A Isolates – 2 well A3",48
"plate ME R2A Isolates – 2 well A4",102
"plate ME R2A Isolates – 2 well A6",137
"plate ME R2A Isolates – 2 well A11",58
"plate ME R2A Isolates – 2 well B1",81
"plate ME R2A Isolates – 2 well B2",129
"plate ME R2A Isolates – 2 well B6",19
"plate ME R2A Isolates – 2 well B7",137
"plate ME R2A Isolates – 2 well B9",102
"plate ME R2A Isolates – 2 well B10",103
"plate ME R2A Isolates – 2 well B11",59
"plate ME R2A Isolates – 2 well B12",60
"plate ME R2A Isolates – 2 well C1",149
"plate ME R2A Isolates – 2 well C2",102
"plate ME R2A Isolates – 2 well C3",140
"plate ME R2A Isolates – 2 well C4",48
"plate ME R2A Isolates – 2 well C5",19
"plate ME R2A Isolates – 2 well C7",59
"plate ME R2A Isolates – 2 well C8",59
"plate ME R2A Isolates – 2 well C9",98
"plate ME R2A Isolates – 2 well C10",102
"plate ME R2A Isolates – 2 well C11",102
"plate ME R2A Isolates – 2 well C12",19
"plate ME R2A Isolates – 2 well D1",102
"plate ME R2A Isolates – 2 well D4",11
"plate ME R2A Isolates – 2 well D5",129
"plate ME R2A Isolates – 2 well D6",48
"plate ME R2A Isolates – 2 well D7",137
"plate ME R2A Isolates – 2 well D8",102
"plate ME R2A Isolates – 2 well D9",137
"plate ME R2A Isolates – 2 well D11",136
"plate ME R2A Isolates – 2 well E2",81
"plate ME R2A Isolates – 2 well E3",81
"plate ME R2A Isolates – 2 well E4",102
"plate ME R2A Isolates – 2 well E5",137
"plate ME R2A Isolates – 2 well E6",137
"plate ME R2A Isolates – 2 well E8",51
"plate ME R2A Isolates – 2 well E9",83
"plate ME R2A Isolates – 2 well E10",26
"plate ME R2A Isolates – 2 well F2",38
"plate ME R2A Isolates – 2 well F3",137
"plate ME R2A Isolates – 2 well F4",48
"plate ME R2A Isolates – 2 well F5",137
"plate ME R2A Isolates – 2 well F7",29
"plate ME R2A Isolates – 2 well F10",129
"plate ME R2A Isolates – 2 well F11",26
"plate ME R2A Isolates – 2 well F12",137
"plate ME R2A Isolates – 2 well G2",48
"plate ME R2A Isolates – 2 well G3",137
"plate ME R2A Isolates – 2 well G4",27
"plate ME R2A Isolates – 2 well G7",27
"plate ME R2A Isolates – 2 well G8",106
"plate ME R2A Isolates – 2 well H1",118
"plate ME R2A Isolates – 2 well H3",137
"plate ME R2A Isolates – 2 well H4",137
"plate ME R2A Isolates – 2 well H5",122
"plate ME R2A Isolates – 2 well H6",31
"plate ME R2A Isolates – 2 well H12",88
"plate ME TSB Isolates – 2 well A12",118
"plate ME TSB Isolates – 2 well B2",137
"plate ME TSB Isolates – 2 well B3",137
"plate ME TSB Isolates – 2 well B7",48
"plate ME TSB Isolates – 2 well B9",141
"plate ME TSB Isolates – 2 well C4",107
"plate ME TSB Isolates – 2 well C6",26
"plate ME TSB Isolates – 2 well C8",129
"plate ME TSB Isolates – 2 well C10",137
"plate ME TSB Isolates – 2 well C12",137
"plate ME TSB Isolates – 2 well D1",35
"plate ME TSB Isolates – 2 well D7",148
"plate ME TSB Isolates – 2 well D9",129
"plate ME TSB Isolates – 2 well E2",129
"plate ME TSB Isolates – 2 well E6",102
"plate ME TSB Isolates – 2 well E8",125
"plate ME TSB Isolates – 2 well E12",90
"plate ME TSB Isolates – 2 well F1",84
"plate ME TSB Isolates – 2 well F3",120
"plate ME TSB Isolates – 2 well F5",123
"plate ME TSB Isolates – 2 well F7",106
"plate ME TSB Isolates – 2 well F9",96
"plate ME TSB Isolates – 2 well F11",129
"plate ME TSB Isolates – 2 well G4",129
"plate ME TSB Isolates – 2 well G6",11
"plate ME TSB Isolates – 2 well G8",129
"plate ME TSB Isolates – 2 well G12",21
"plate ME TSB Isolates – 2 well H1",132
"plate ME TSB Isolates – 2 well H5",129
"plate ME TSB Isolates – 2 well H7",129
"plate ME TSB Isolates – 2 well H9",129
"plate ME TSB Isolates – 2 well H11",28
"plate NB Isolates - 1 well A3",23
"plate NB Isolates - 1 well A5",33
"plate NB Isolates - 1 well A7",37
"plate NB Isolates - 1 well A9",128
"plate NB Isolates - 1 well A11",124
"plate NB Isolates - 1 well B2",128
"plate NB Isolates - 1 well B4",10
"plate NB Isolates - 1 well B6",33
"plate NB Isolates - 1 well B10",124
"plate NB Isolates - 1 well C1",114
"plate NB Isolates - 1 well C7",30
"plate NB Isolates - 1 well C11",30
"plate NB Isolates - 1 well D2",93
"plate NB Isolates - 1 well D6",139
"plate NB Isolates - 1 well D10",37
"plate NB Isolates - 1 well D12",93
"plate NB Isolates - 1 well E3",33
"plate NB Isolates - 1 well E7",42
"plate NB Isolates - 1 well E7 2",39
"plate NB Isolates - 1 well E11",50
"plate NB Isolates - 1 well F2",23
"plate NB Isolates - 1 well F10",33
"plate NB Isolates - 1 well G1",33
"plate NB Isolates - 1 well G3",33
"plate NB Isolates - 1 well G4",53
"plate NB Isolates - 1 well G7",37
"plate NB Isolates - 1 well G11",16
"plate NB Isolates - 1 well H2",49
"plate NB Isolates - 1 well H4",33
"plate NB Isolates - 1 well H8",50
"plate NB Isolates - 1 well H10",37
"plate NB Isolates - 1 well H12",65
"plate PD Isolates - 1 well A03",17
"plate PD Isolates - 1 well A04",3
"plate PD Isolates - 1 well A05",148
"plate PD Isolates - 1 well A06",138
"plate PD Isolates - 1 well A07",143
"plate PD Isolates - 1 well A09",75
"plate PD Isolates - 1 well A10",17
"plate PD Isolates - 1 well A11",126
"plate PD Isolates - 1 well A12",57
"plate PD Isolates - 1 well B01",17
"plate PD Isolates - 1 well B06",135
"plate PD Isolates - 1 well B07",3
"plate PD Isolates - 1 well B09",72
"plate PD Isolates - 1 well C01",3
"plate PD Isolates - 1 well C03",3
"plate PD Isolates - 1 well C04",17
"plate PD Isolates - 1 well C05",17
"plate PD Isolates - 1 well C06",126
"plate PD Isolates - 1 well C07",127
"plate PD Isolates - 1 well C08",143
"plate PD Isolates - 1 well C10",17
"plate PD Isolates - 1 well C12",135
"plate PD Isolates - 1 well D01",17
"plate PD Isolates - 1 well D04",112
"plate PD Isolates - 1 well D06",143
"plate PD Isolates - 1 well D07",135
"plate PD Isolates - 1 well D08",56
"plate PD Isolates - 1 well D09",17
"plate PD Isolates - 1 well D10",126
"plate PD Isolates - 1 well D11",113
"plate PD Isolates - 1 well D12",72
"plate PD Isolates - 1 well E01",72
"plate PD Isolates - 1 well E03",75
"plate PD Isolates - 1 well E05",72
"plate PD Isolates - 1 well E06",143
"plate PD Isolates - 1 well E07",113
"plate PD Isolates - 1 well E08",135
"plate PD Isolates - 1 well E10",72
"plate PD Isolates - 1 well E11",113
"plate PD Isolates - 1 well F02",3
"plate PD Isolates - 1 well F03",135
"plate PD Isolates - 1 well F04",3
"plate PD Isolates - 1 well F06",3
"plate PD Isolates - 1 well F07",72
"plate PD Isolates - 1 well F08",17
"plate PD Isolates - 1 well F09",95
"plate PD Isolates - 1 well F11",72
"plate PD Isolates - 1 well F12",135
"plate PD Isolates - 1 well G01",143
"plate PD Isolates - 1 well G05",3
"plate PD Isolates - 1 well G06",143
"plate PD Isolates - 1 well G08",17
"plate PD Isolates - 1 well G11",135
"plate PD Isolates - 1 well G12",56
"plate PD Isolates - 1 well H01",41
"plate PD Isolates - 1 well H02",3
"plate PD Isolates - 1 well H03",17
"plate PD Isolates - 1 well H06",72
"plate PD Isolates - 1 well H08",72
"plate PD Isolates - 1 well H09",18
"plate Rego Endo #2 2/23/19 well A1",147
"plate Rego Endo #2 2/23/20 well B2",71
"plate Rego Endo #2 2/23/21 well A3",147
"plate Rego Endo #2 2/23/22 well B4",71
"plate Rego Endo #2 2/23/24 well B8",8
"plate Rego Endo #2 2/23/28 well D1",101
"plate Rego Endo #2 2/23/29 well E2",87
"plate Rego Endo #2 2/23/30 well D3",147
"plate Rego Endo #2 2/23/31 well E4",101
"plate Rego Endo #2 2/23/32 well D5",4
"plate Rego Endo #2 2/23/33 well E6",55
"plate Rego Endo #2 2/23/34 well D7",8
"plate Rego Endo #2 2/23/35 well E8",8
"plate Rego Endo #2 2/23/36 well D9",110
"plate Rego Endo #2 2/23/37 well E10",76
"plate Rego Endo #2 2/23/40 well G1",147
"plate Rego Endo #2 2/23/41 well H2",53
"plate Rego Endo #2 2/23/42 well G3",110
"plate Rego Endo #2 2/23/43 well G5",8
"plate Rego Endo #2 2/23/44 well H8",71
