trajectory_ID	taxon	abundance	time	type
5	Bifidobacterium-longum	1380.4866	50.3	simulation
5	Bifidobacterium-longum	1383.1136	50.4	simulation
5	Bifidobacterium-longum	1385.7458	50.5	simulation
5	Bifidobacterium-longum	1388.3833	50.6	simulation
5	Bifidobacterium-longum	1391.0259	50.7	simulation
5	Bifidobacterium-longum	1393.6738	50.8	simulation
5	Bifidobacterium-longum	1396.327	50.9	simulation
5	Bifidobacterium-longum	1398.9854	51	simulation
5	Bifidobacterium-longum	1401.6491	51.1	simulation
5	Bifidobacterium-longum	1404.3279	51.2	simulation
5	Bifidobacterium-longum	1407.008	51.3	simulation
5	Bifidobacterium-longum	1409.6843	51.4	simulation
5	Bifidobacterium-longum	1412.3658	51.5	simulation
5	Bifidobacterium-longum	1415.0526	51.6	simulation
5	Bifidobacterium-longum	1417.7447	51.7	simulation
5	Bifidobacterium-longum	1420.469	51.8	simulation
5	Bifidobacterium-longum	1423.1752	51.9	simulation
5	Bifidobacterium-longum	1425.9059	52	simulation
5	Bifidobacterium-longum	1428.6325	52.1	simulation
5	Bifidobacterium-longum	1431.3835	52.2	simulation
5	Bifidobacterium-longum	1434.1408	52.3	simulation
5	Bifidobacterium-longum	1436.9044	52.4	simulation
5	Bifidobacterium-longum	1439.6396	52.5	simulation
5	Bifidobacterium-longum	1442.3782	52.6	simulation
5	Bifidobacterium-longum	1445.122	52.7	simulation
5	Bifidobacterium-longum	1447.8713	52.8	simulation
5	Bifidobacterium-longum	1450.6259	52.9	simulation
5	Bifidobacterium-longum	1453.3859	53	simulation
5	Bifidobacterium-longum	1456.1513	53.1	simulation
5	Bifidobacterium-longum	1458.9221	53.2	simulation
5	Bifidobacterium-longum	1461.6983	53.3	simulation
5	Bifidobacterium-longum	1464.48	53.4	simulation
5	Bifidobacterium-longum	1467.2671	53.5	simulation
5	Bifidobacterium-longum	1470.0597	53.6	simulation
5	Bifidobacterium-longum	1472.8578	53.7	simulation
5	Bifidobacterium-longum	1475.6686	53.8	simulation
5	Bifidobacterium-longum	1478.4754	53.9	simulation
5	Bifidobacterium-longum	1481.2924	54	simulation
5	Bifidobacterium-longum	1484.1465	54.1	simulation
5	Bifidobacterium-longum	1487.0351	54.2	simulation
5	Bifidobacterium-longum	1489.8874	54.3	simulation
5	Bifidobacterium-longum	1492.7458	54.4	simulation
5	Bifidobacterium-longum	1495.6104	54.5	simulation
5	Bifidobacterium-longum	1498.481	54.6	simulation
5	Bifidobacterium-longum	1501.3579	54.7	simulation
5	Bifidobacterium-longum	1504.2226	54.8	simulation
5	Bifidobacterium-longum	1507.089	54.9	simulation
5	Bifidobacterium-longum	1509.961	55	simulation
5	Bifidobacterium-longum	1512.8387	55.1	simulation
5	Bifidobacterium-longum	1515.7444	55.2	simulation
5	Bifidobacterium-longum	1518.6742	55.3	simulation
